"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"133","@kittykatt527 @NitkoUsamljeny @GodelieveTT @mehdirhasan @BernieSanders @morningmika @JoeNBC At least I don’t go aro… https://t.co/bQDGx7HCpP",FALSE,0,"kittykatt527",2020-03-24 05:41:26,TRUE,"1242324977204056065","1242325629690880001","78619046","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HypnoticAnarch1",0,FALSE,FALSE,NA,NA
"134","RT @_waleedshahid: ""Can you imagine giving the Trump administration $500 billion...in the midst of an election to do anything they want wit…",FALSE,0,NA,2020-03-24 05:37:21,FALSE,NA,"1242324602509881344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Loco_Texan",906,TRUE,FALSE,NA,NA
"135","RT @OneDayPoll1: If the election was held today who are you voting for on 2/27/2020
#Election2020 #Trump #PeteButtigieg #Sanders @SenWarren…",FALSE,0,NA,2020-03-24 05:35:42,FALSE,NA,"1242324190419726337",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ELLENDEPLORABLE",3561,TRUE,FALSE,NA,NA
"136","RT @_waleedshahid: ""Can you imagine giving the Trump administration $500 billion...in the midst of an election to do anything they want wit…",FALSE,0,NA,2020-03-24 05:32:14,FALSE,NA,"1242323318096531456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lnmendoza37",906,TRUE,FALSE,NA,NA
"137","RT @_waleedshahid: ""Can you imagine giving the Trump administration $500 billion...in the midst of an election to do anything they want wit…",FALSE,0,NA,2020-03-24 05:31:12,FALSE,NA,"1242323057638694915",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","DanCas2",906,TRUE,FALSE,NA,NA
"138","RT @PunaTeri: @Lauren_Steiner @mackyson @HowieHawkins @GreenPartyUS @BernieSanders @JoeBiden Exactly where my vote is coming if Bernie does…",FALSE,0,NA,2020-03-24 05:26:23,FALSE,NA,"1242321843895160834",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mr_funsun",1,TRUE,FALSE,NA,NA
"139","RT @_waleedshahid: ""Can you imagine giving the Trump administration $500 billion...in the midst of an election to do anything they want wit…",FALSE,0,NA,2020-03-24 05:26:22,FALSE,NA,"1242321837960429568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marklungo",906,TRUE,FALSE,NA,NA
"140","@patrice_noonan @RoamMyra @rmiskimens @Mattielisbon @AnnieGrayerCNN @tedbarrettcnn @BernieSanders This thread and s… https://t.co/lmbnoYgSGN",FALSE,1,"patrice_noonan",2020-03-24 05:26:09,TRUE,"1242298401439571970","1242321783639834624","855259975177953280","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WLSmith991",0,FALSE,FALSE,NA,NA
"141","RT @_waleedshahid: ""Can you imagine giving the Trump administration $500 billion...in the midst of an election to do anything they want wit…",FALSE,0,NA,2020-03-24 05:26:00,FALSE,NA,"1242321745815597056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JohnBaskind",906,TRUE,FALSE,NA,NA
"142","RT @_waleedshahid: ""Can you imagine giving the Trump administration $500 billion...in the midst of an election to do anything they want wit…",FALSE,0,NA,2020-03-24 05:25:57,FALSE,NA,"1242321736667979776",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ctrldh_",906,TRUE,FALSE,NA,NA
