"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"154","#coronavirus #EasterMassacre #COVID19 #COVID2019 #StayHome https://t.co/pzZGvdLPqi",FALSE,0,NA,2020-03-26 01:11:58,FALSE,NA,"1242982591977926662",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mns2lv4ever",0,FALSE,FALSE,NA,NA
"155","Bernie Sanders is out there fighting for all of our lives.

Has Biden even taken a stance on ANY part of the bill?… https://t.co/5YNlc5SDts",FALSE,2,NA,2020-03-26 01:11:32,TRUE,NA,"1242982486348640257",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Jimdotbeep",0,FALSE,FALSE,NA,NA
"156","RT @Goss30Goss: This #COVID19 has everyone on edge. Time to relax, take a few deep breaths, &amp; look forward to @JoeBiden winning the Preside…",FALSE,0,NA,2020-03-26 01:11:24,FALSE,NA,"1242982450135027717",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TurnKansasBlue",62,TRUE,FALSE,NA,NA
"157","RT @Goss30Goss: This #COVID19 has everyone on edge. Time to relax, take a few deep breaths, &amp; look forward to @JoeBiden winning the Preside…",FALSE,0,NA,2020-03-26 01:10:08,FALSE,NA,"1242982133473382401",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Suzee5335",62,TRUE,FALSE,NA,NA
"158","Bernie Sanders is out there fighting for all of our lives.

Has Biden even taken a stance on ANY part of the bill?… https://t.co/Xi5HadHOjG",FALSE,1,NA,2020-03-26 01:09:43,TRUE,NA,"1242982028368326657",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Jimdotbeep",0,FALSE,FALSE,NA,NA
"159","RT @b24fowler: Man, this dude makes the ads against himself. Are the less informed open to hearing him tell them how bad he actually is?…",FALSE,0,NA,2020-03-26 01:09:26,FALSE,NA,"1242981956238880779",NA,"<a href=""http://repo.qg"" rel=""nofollow"">2ndBot</a>","RedPillDetox",1,TRUE,FALSE,NA,NA
"160","RT @Goss30Goss: This #COVID19 has everyone on edge. Time to relax, take a few deep breaths, &amp; look forward to @JoeBiden winning the Preside…",FALSE,0,NA,2020-03-26 01:09:22,FALSE,NA,"1242981938585108482",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JORGE_C_NY",62,TRUE,FALSE,NA,NA
"161","Man, this dude makes the ads against himself. Are the less informed open to hearing him tell them how bad he actual… https://t.co/e0LtmuiXyW",FALSE,1,NA,2020-03-26 01:08:08,TRUE,NA,"1242981627766202369",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","b24fowler",1,FALSE,FALSE,NA,NA
"162","RT @Goss30Goss: This #COVID19 has everyone on edge. Time to relax, take a few deep breaths, &amp; look forward to @JoeBiden winning the Preside…",FALSE,0,NA,2020-03-26 01:06:48,FALSE,NA,"1242981293526261760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bobkyler",62,TRUE,FALSE,NA,NA
"163","I think we’ve all been getting it wrong. These aren’t #COVID19 ##pressers - they’re #campaign #rallies. #DrFauci sh… https://t.co/iGI6fBnm7a",FALSE,0,NA,2020-03-26 01:05:57,TRUE,NA,"1242981080841453569",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DonnyDeplorable",0,FALSE,FALSE,NA,NA
